Area,Age-Group,Mobility-Years,Total-in-migrants,Intraprovincial-in-migrants,Interprovincial-in-migrants,External-in-migrants,Total-out-migrants,Intraprovincial-out-migrants,Interprovincial-out-migrants
Granby,20 to 24,5,880,810,0,50,1105,1050,50
Saint-Hyacinthe,20 to 24,5,990,945,0,40,730,720,0
Sorel-Tracy,20 to 24,5,430,415,0,0,500,495,0
Joliette,20 to 24,5,795,710,0,80,945,940,0
Saint-Jean-sur-Richelieu,20 to 24,5,1085,1015,20,50,1045,985,55
Montreal,20 to 24,5,44075,16795,5745,21535,12985,9110,3875
Salaberry-de-Valleyfield,20 to 24,5,500,470,0,0,565,550,0
Lachute,20 to 24,5,265,245,20,0,280,260,0
Val-dOr,20 to 24,5,395,355,35,0,440,435,0
Amos,20 to 24,5,180,175,0,0,250,250,0
Rouyn-Noranda,20 to 24,5,705,580,85,40,720,690,30
Ontario,20 to 24,5,197375,130390,15800,51180,155080,130390,24690
Cornwall,20 to 24,5,460,335,95,30,905,735,175
Hawkesbury,20 to 24,5,145,105,40,0,240,170,70
Hawkesbury (Ontario part),20 to 24,5,110,80,30,0,240,165,70
Ottawa - Gatineau,20 to 24,5,21120,12430,3685,5000,9515,6780,2730
Ottawa - Gatineau (Quebec part),20 to 24,5,3935,2110,1215,615,2750,2075,675
Ottawa - Gatineau (Ontario part),20 to 24,5,18130,10320,3420,4390,7715,4705,3010
Brockville,20 to 24,5,415,365,35,15,540,445,95
Pembroke,20 to 24,5,295,205,80,0,365,275,90
Petawawa,20 to 24,5,805,555,230,0,380,270,110
Kingston,20 to 24,5,4325,3350,545,430,3380,2395,980
Belleville,20 to 24,5,1515,1300,190,20,1865,1565,300
Cobourg,20 to 24,5,195,185,0,0,500,440,55
Port Hope,20 to 24,5,130,115,0,0,280,205,70
Peterborough,20 to 24,5,2180,1835,200,155,2115,1755,360
Kawartha Lakes,20 to 24,5,795,775,0,15,1175,990,190
Centre Wellington,20 to 24,5,315,305,0,0,520,480,40
Oshawa,20 to 24,5,3305,2835,220,250,3675,3105,570
Ingersoll,20 to 24,5,170,175,0,0,280,265,0
Toronto,20 to 24,5,62190,19820,6265,36110,22285,15610,6675
Hamilton,20 to 24,5,7695,5145,500,2050,6950,5685,1265
St. Catharines - Niagara,20 to 24,5,3245,2160,235,845,3750,2965,785
Kitchener - Cambridge - Waterloo,20 to 24,5,8305,5715,675,1915,4660,3905,755
Brantford,20 to 24,5,1385,1250,95,40,1250,1090,160
Woodstock,20 to 24,5,580,575,0,0,510,440,65
Tillsonburg,20 to 24,5,315,300,0,0,330,325,0
Norfolk,20 to 24,5,490,435,25,30,1090,930,160
Guelph,20 to 24,5,3405,2915,180,315,2730,2310,420
Stratford,20 to 24,5,415,385,0,0,465,430,35
London,20 to 24,5,8320,5935,550,1840,5610,4330,1275
Chatham-Kent,20 to 24,5,435,360,50,25,1880,1655,215
Leamington,20 to 24,5,435,340,0,55,830,725,100
Windsor,20 to 24,5,3330,1820,140,1375,2565,1715,850
Sarnia,20 to 24,5,840,665,65,110,1200,1020,175
Owen Sound,20 to 24,5,380,370,0,0,515,430,90
Collingwood,20 to 24,5,200,155,25,0,185,165,25
Barrie,20 to 24,5,2740,2345,235,155,2770,2325,440
Orillia,20 to 24,5,480,435,0,30,515,445,65
Midland,20 to 24,5,260,250,0,0,680,595,80
North Bay,20 to 24,5,1340,1165,105,70,1210,995,220
Greater Sudbury,20 to 24,5,1955,1545,180,225,1970,1535,445
Elliot Lake,20 to 24,5,70,60,0,0,285,270,10
Temiskaming Shores,20 to 24,5,250,215,0,0,265,255,15
Timmins,20 to 24,5,540,500,20,0,735,655,75
Sault Ste. Marie,20 to 24,5,630,525,20,80,780,620,160
Thunder Bay,20 to 24,5,1425,1205,170,50,980,525,455
Kenora,20 to 24,5,110,70,35,0,255,125,135
Manitoba,20 to 24,5,19115,10660,3165,5290,16055,10665,5390
Winnipeg,20 to 24,5,10600,4345,1955,4300,4015,1070,2945
Steinbach,20 to 24,5,415,240,105,70,430,350,75
Portage la Prairie,20 to 24,5,160,120,30,0,275,210,60
Brandon,20 to 24,5,1880,1120,440,320,1145,710,440
Thompson,20 to 24,5,300,195,100,0,480,290,190
Saskatchewan,20 to 24,5,23120,14640,5440,3045,20015,14635,5380
Regina,20 to 24,5,4520,2620,920,985,1935,960,975
Yorkton,20 to 24,5,385,185,190,0,455,375,85
Moose Jaw,20 to 24,5,550,310,215,25,775,590,180
Swift Current,20 to 24,5,355,250,50,45,345,150,195
Saskatoon,20 to 24,5,8120,4715,1805,1605,2820,1285,1540
North Battleford,20 to 24,5,360,210,80,70,465,320,145
Prince Albert,20 to 24,5,595,395,140,65,850,635,220
Estevan,20 to 24,5,365,135,185,0,255,190,70
Alberta,20 to 24,5,80050,38645,28200,13195,53735,38645,15085
Medicine Hat,20 to 24,5,960,425,400,125,1305,930,370
Brooks,20 to 24,5,335,115,150,70,455,400,55
Lethbridge,20 to 24,5,3570,2425,830,315,1445,980,470
Okotoks,20 to 24,5,430,275,155,0,580,435,140
High River,20 to 24,5,175,100,65,0,310,250,65
Calgary,20 to 24,5,19645,5425,8660,5560,9070,3745,5325
Strathmore,20 to 24,5,235,185,45,0,260,205,50
Canmore,20 to 24,5,370,95,180,95,440,215,220
Red Deer,20 to 24,5,2965,1900,770,295,2115,1745,375
Sylvan Lake,20 to 24,5,535,390,135,0,345,245,100
Lacombe,20 to 24,5,340,250,55,35,630,495,135
Camrose,20 to 24,5,585,420,135,30,465,370,95
Edmonton,20 to 24,5,23250,8680,9165,5400,7700,3445,4255
Lloydminster,20 to 24,5,1205,370,735,105,660,430,230
Lloydminster (Saskatchewan part),20 to 24,5,605,180,385,40,340,205,135
Lloydminster (Alberta part),20 to 24,5,645,190,400,60,365,225,140
Cold Lake,20 to 24,5,525,110,380,35,400,255,145
Grande Prairie,20 to 24,5,2750,1460,1170,115,1125,735,390
Wood Buffalo,20 to 24,5,3275,665,2350,265,1420,1080,335
Wetaskiwin,20 to 24,5,285,140,120,25,310,275,30
British Columbia ,20 to 24,5,83865,43910,16085,23870,58880,43910,14975
Cranbrook,20 to 24,5,320,190,115,15,490,230,260
Penticton,20 to 24,5,450,300,130,20,690,505,185
Kelowna,20 to 24,5,3695,2085,1165,440,2005,1245,755
